message_id,action,message_type,reason,confidence,evidence_message_ids
msg_028,mute,promotion,Promotional message from sender user typically dismisses (100% dismiss rate) from business account,0.81,message_0034;message_0112;message_0111
msg_012,mute,forward,Chain content forwarded 9 times — repetitive low-value message in group chat,0.83,message_0079;message_0194;message_0178
msg_064,mute,promotion,Forwarded 2 times with no personal context in group chat: Refund approved for your ticket. Verify wallet and card details before midnight...,0.81,message_0087;message_0183
msg_103,digest,personal,"Casual greeting with no action required from u_048: Hi, I kept the blue denim jacket aside for you. Can you collect it from Gate 2...",0.5364,message_0382;message_0065;message_0066
msg_031,notify,event,"Event or schedule update needing action from group admin: 7 PM sync is still on. Please bring deployment notes, yesterday's incident...",0.95,message_0055;message_0227;message_0249
msg_057,notify,urgent,"Direct mention requesting response in group chat: @u_010 build is failing, can you check? I already tried rerun once and same job...",0.86,message_0169;message_0003;message_0059
msg_087,mute,spam,Aggressive promotional spam filtered in group chat: (media message),0.95,none
msg_067,notify,payment,"Payment notification requiring attention from group admin: Maintenance payment aaj 5 baje tak kar dena, admin ne bola late fee lag jayegi....",0.95,message_0029;message_0044;message_0067
msg_039,notify,event,Event or schedule update needing action from group admin: @u_006 pls send the fee receipt today. School office is matching payments...,0.9285,message_0255;message_0364;message_0037
msg_082,notify,urgent,High-priority urgent message in group chat: check out error styre spiking again please join the incident bridge now...,0.8883,message_0218;message_0380;message_0397
msg_066,mute,promotion,Forwarded 3 times with no personal context from business account: Reminder: your account has a shopping offer available. Selected products and...,0.81,message_0188
msg_049,notify,business_update,"Important business update from business account: Dear Customer, Shopee return pickup today 2-5 PM. Keep item packed with...",0.661,message_0291;message_0154;message_0153
msg_015,mute,scam,Scam/phishing pattern detected with suspicious verification request in group chat,0.7645,message_0085
msg_051,mute,promotion,Forwarded 3 times with no personal context from business account: Reminder: your account has a shopping offer available. Selected products and...,0.81,message_0257;message_0104;message_0103
msg_097,digest,personal,"Sender explicitly indicated non-urgent — safe for later review from u_041: Reached home and had dinner. Don't call now, phone is charging. We can talk...",0.82,message_0054;message_0359;message_0226
msg_089,digest,personal,"Casual greeting with no action required from u_049: Hi, this is Meera from the pottery workshop. You left a blue water bottle at...",0.95,message_0301
msg_053,mute,forward,Chain content forwarded 6 times — repetitive low-value message from group admin,0.83,message_0253;message_0411;message_0161
msg_059,mute,scam,Potential scam or router-manipulation attempt blocked in group chat,0.731,message_0369
msg_024,mute,promotion,Forwarded 3 times with no personal context from business account: Reminder: your account has a shopping offer available. Selected products and...,0.81,message_0257;message_0104;message_0103
msg_072,mute,scam,Scam/phishing pattern detected with suspicious verification request in group chat,0.81,message_0085;message_0199
msg_036,mute,scam,"Forwarded 2 times with no personal context from business account: Dear customer, Your international payout profile needs one final verification...",0.92,message_0283;message_0127;message_0128
msg_076,mute,scam,"Forwarded 2 times with no personal context from business account: Refund update Dear Customer, Your food order refund could not be processed...",0.92,message_0208;message_0207;message_0159
msg_055,notify,urgent,High-priority urgent message in group chat: Call me urgently. I am outside and need to decide in next ten minutes. Please...,0.8782,message_0166;message_0387
msg_102,notify,urgent,Time-critical message requiring immediate action from u_046: Rollback is approved. Please stay online for the next 30 minutes while we drain...,0.95,message_0371;message_0230;message_0169
msg_080,notify,urgent,"Time-critical message requiring immediate action from group admin: Gate band hone wala hai, 10 min me car hata do. Repair truck andar aa raha hai,...",0.9192,message_0130;message_0150;message_0190
msg_093,notify,business_update,"Important business update from business account: Dear Customer, Your FedEx delivery attempt is scheduled between 2 PM and 4 PM...",0.95,message_0349;message_0348;message_0347
msg_034,mute,forward,Chain content forwarded 11 times — repetitive low-value message from group admin,0.85,message_0013;message_0014;message_0077
msg_035,mute,business_update,"Low-trust sender with no positive interaction history from business account: Dear customer, International payouts don't have to be slow, expensive, or...",0.6697,message_0281;message_0125;message_0126
msg_101,digest,personal,Sender explicitly indicated non-urgent — safe for later review from u_054: Did you eat? I kept some dal in the fridge. No need to reply if you are still...,0.82,message_0370;message_0229;message_0268
msg_041,notify,business_update,"Important business update from business account: Hi, You may have interacted with this program through one of our events, hiring...",0.9389,message_0137;message_0138
msg_011,mute,greeting,Chain content forwarded 8 times — repetitive low-value message from group admin,0.83,message_0014;message_0013;message_0077
msg_110,mute,scam,Blocked by security guardrail: prompt injection or router-manipulation attempt detected.,0.99,none
msg_095,mute,scam,Blocked by security guardrail: prompt injection or router-manipulation attempt detected.,0.99,none
msg_074,mute,promotion,Chain content forwarded 7 times — repetitive low-value message in group chat,0.83,message_0203;message_0389;message_0358
msg_073,mute,scam,Scam/phishing pattern detected with suspicious verification request in group chat,0.83,none
msg_054,mute,payment,Low-trust sender with no positive interaction history in group chat: Loan approved. Pay processing fee at this link and amount will be released...,0.95,message_0389;message_0358
msg_068,digest,personal,"Trusted sender update — useful but no action needed now in group chat: Match ke baad plan discuss karte hain, koi urgency nahi hai. Main poll daal...",0.9477,none
msg_100,notify,urgent,Time-critical message requiring immediate action from u_046: Can you come online now? The payment worker retries crossed the alert threshold...,0.87,message_0362;message_0228;message_0117
msg_062,mute,forward,Chain content forwarded 7 times — repetitive low-value message from group admin,0.83,message_0043
msg_096,digest,personal,"Personal message with no urgent action required from u_049: Bonjour, je suis a la reception de votre immeuble. Votre passeport a ete trouve...",0.6099,none
msg_043,mute,forward,Chain content forwarded 11 times — repetitive low-value message from group admin,0.85,message_0269;message_0030;message_0410
msg_077,notify,event,"Event or schedule update needing action from group admin: School circular attached for tomorrow's field trip. Please sign consent, pack...",0.9322,message_0051;message_0037;message_0403
msg_081,notify,event,Event or schedule update needing action in group chat: hi this is from school transport today's pickup will be from gate two instead...,0.87,message_0217
msg_025,notify,business_update,"Important business update from business account: Hi Customer, Your order ending 4821 has been packed and is expected to reach...",0.9149,message_0239;message_0004;message_0105
msg_084,mute,promotion,Promotional message from sender user typically dismisses (100% dismiss rate) from business account,0.81,message_0220
msg_022,mute,payment,"Low-trust sender with no positive interaction history in group chat: Payment due today. Complete before 5 PM. If already paid, ignore; receipts will...",0.8942,message_0099;message_0100
