message_id,action,message_type,reason,confidence,evidence_message_ids
msg_094,mute,promotion,Low trust sender with no prior positive interactions,0.81,message_0356
msg_029,mute,promotion,Message forwarded 8 times - likely spam chain content,0.83,message_0113;message_0332;message_0401
msg_105,mute,promotion,Message forwarded 7 times - likely spam chain content,0.83,message_0233;message_0373
msg_002,notify,payment,Time-sensitive message with specific deadline or constraint,0.86,message_0266;message_0003;message_0041
msg_010,digest,business_update,Trusted sender update - useful but non-urgent information,0.8386,message_0242;message_0011;message_0075
msg_078,mute,promotion,Message forwarded 10 times - likely spam chain content,0.85,none
msg_013,mute,promotion,Low trust sender with no prior positive interactions,0.8676,none
msg_018,mute,forward,Message forwarded 9 times - likely spam chain content,0.83,none
msg_044,mute,scam,Detected scam/phishing pattern with suspicious verification or OTP request,0.81,message_0143
msg_032,digest,personal,Trusted sender update - useful but non-urgent information,0.8266,message_0119
msg_106,notify,personal,Time-sensitive message with specific deadline or constraint,0.9076,message_0234;message_0376
msg_006,notify,promotion,Important message from highly trusted sender,0.9084,message_0029;message_0044;message_0097
msg_109,mute,payment,Low trust sender with no prior positive interactions,0.8654,message_0151;message_0152;message_0237
msg_108,mute,scam,Detected scam/phishing pattern with suspicious verification or OTP request,0.85,message_0094;message_0093
msg_019,mute,business_update,Detected scam/phishing pattern with suspicious verification or OTP request,0.85,message_0094
msg_088,mute,spam,Low trust sender with no prior positive interactions,0.8684,none
msg_056,notify,event,Time-sensitive message with specific deadline or constraint,0.87,message_0226
msg_027,digest,promotion,General update or information for later review,0.8322,message_0007;message_0033;message_0272
msg_050,notify,event,Event invitation or schedule notification,0.9076,message_0279
msg_083,notify,urgent,High-priority urgent message requiring notification,0.8764,none
msg_063,mute,payment,Low trust sender with no prior positive interactions,0.8658,none
msg_033,mute,greeting,Low-value content filtered as spam,0.81,message_0121
msg_061,mute,greeting,Message forwarded 8 times - likely spam chain content,0.83,message_0080;message_0042;message_0193
msg_020,mute,forward,Message forwarded 2 times - likely low-value chain content,0.81,none
msg_017,mute,payment,Low trust sender with no prior positive interactions,0.8683,none
msg_058,mute,promotion,Message forwarded 10 times - likely spam chain content,0.85,message_0039;message_0241;message_0040
msg_026,mute,promotion,Low trust sender with no prior positive interactions,0.8418,message_0032;message_0107
msg_047,notify,promotion,Important message from highly trusted sender,0.9087,message_0098;message_0068;message_0001
msg_046,mute,business_update,Detected scam/phishing pattern with suspicious verification or OTP request,0.8677,message_0148;message_0147
msg_042,notify,urgent,Time-sensitive message with specific deadline or constraint,0.9002,message_0140;message_0058
msg_079,mute,business_update,Low-value content filtered as spam,0.8673,message_0369;message_0045;message_0023
msg_098,digest,event,Trusted sender update - useful but non-urgent information,0.8146,message_0359;message_0168;message_0226
msg_037,notify,urgent,Time-sensitive message with specific deadline or constraint,0.903,message_0410;message_0001
msg_007,digest,event,Trusted sender update - useful but non-urgent information,0.8246,none
msg_085,digest,personal,Trusted sender update - useful but non-urgent information,0.8376,none
msg_001,notify,urgent,Time-sensitive message with specific deadline or constraint,0.8975,message_0139;message_0057;message_0240
msg_021,notify,payment,Payment notification requiring immediate attention,0.9084,none
msg_028,mute,promotion,Low trust sender with no prior positive interactions,0.81,message_0034;message_0112;message_0111
msg_012,mute,promotion,Message forwarded 9 times - likely spam chain content,0.83,message_0079;message_0178;message_0194
msg_064,mute,payment,Message forwarded 2 times - likely low-value chain content,0.81,none
msg_103,digest,personal,Trusted sender update - useful but non-urgent information,0.8122,message_0382;message_0065;message_0066
msg_031,notify,event,Event invitation or schedule notification,0.909,none
msg_057,notify,urgent,Direct mention with question requiring response,0.86,message_0003;message_0169;message_0059
msg_087,mute,spam,Low trust sender with no prior positive interactions,0.8678,none
msg_067,notify,payment,Payment notification requiring immediate attention,0.9083,message_0029;message_0044;message_0097
msg_039,notify,promotion,Important message from highly trusted sender,0.9057,message_0364;message_0255
msg_082,notify,urgent,High-priority urgent message requiring notification,0.9045,none
msg_066,mute,promotion,Message forwarded 3 times - likely low-value chain content,0.81,message_0188
msg_049,notify,promotion,Important message from highly trusted sender,0.8897,message_0291;message_0154;message_0153
msg_015,mute,business_update,Detected scam/phishing pattern with suspicious verification or OTP request,0.8559,none
msg_051,mute,promotion,Message forwarded 3 times - likely low-value chain content,0.81,message_0257;message_0103;message_0104
msg_097,digest,personal,Trusted sender update - useful but non-urgent information,0.8312,message_0359;message_0226;message_0225
msg_089,digest,promotion,Casual greeting message - no immediate action required,0.8389,none
msg_053,mute,forward,Message forwarded 6 times - likely spam chain content,0.83,message_0253;message_0411;message_0161
msg_059,mute,promotion,Promotional content from business - filtered as low priority,0.8539,none
msg_024,mute,promotion,Message forwarded 3 times - likely low-value chain content,0.81,message_0257;message_0103;message_0104
msg_072,mute,forward,Detected scam/phishing pattern with suspicious verification or OTP request,0.81,none
msg_036,mute,forward,Message forwarded 2 times - likely low-value chain content,0.81,message_0283;message_0127;message_0128
msg_076,mute,payment,Message forwarded 2 times - likely low-value chain content,0.81,message_0207;message_0208;message_0159
msg_055,notify,urgent,High-priority urgent message requiring notification,0.9027,message_0166
msg_102,notify,urgent,Time-sensitive message with specific deadline or constraint,0.9078,message_0230;message_0371;message_0169
msg_080,notify,urgent,Time-sensitive message with specific deadline or constraint,0.9052,message_0180;message_0216;message_0142
msg_093,notify,promotion,Important message from highly trusted sender,0.9075,message_0348;message_0347;message_0349
msg_034,mute,greeting,Message forwarded 11 times - likely spam chain content,0.85,message_0013;message_0014;message_0241
msg_035,mute,business_update,Low trust sender with no prior positive interactions,0.8502,message_0281;message_0125;message_0126
msg_101,notify,personal,Important message from highly trusted sender,0.8902,message_0229;message_0370;message_0268
msg_041,notify,business_update,High-priority business_update message,0.9063,message_0137
msg_011,mute,greeting,Message forwarded 8 times - likely spam chain content,0.83,message_0014;message_0013;message_0077
msg_110,mute,scam,Detected scam/phishing pattern with suspicious verification or OTP request,0.81,message_0238
msg_095,mute,personal,Low trust sender with no prior positive interactions,0.87,message_0024
msg_074,mute,payment,Message forwarded 7 times - likely spam chain content,0.83,message_0203;message_0389;message_0358
msg_073,mute,forward,Detected scam/phishing pattern with suspicious verification or OTP request,0.83,none
msg_054,mute,payment,Low trust sender with no prior positive interactions,0.868,message_0389
msg_068,digest,personal,Trusted sender update - useful but non-urgent information,0.8369,none
msg_100,notify,urgent,Time-sensitive message with specific deadline or constraint,0.87,message_0362;message_0228;message_0117
msg_062,mute,promotion,Message forwarded 7 times - likely spam chain content,0.83,message_0043
msg_096,digest,personal,General update or information for later review,0.8166,none
msg_043,mute,forward,Message forwarded 11 times - likely spam chain content,0.85,none
msg_077,notify,event,Event invitation or schedule notification,0.9059,message_0051;message_0403;message_0037
msg_081,digest,personal,Trusted sender update - useful but non-urgent information,0.8339,none
msg_025,notify,business_update,High-priority business_update message,0.9049,message_0004;message_0239;message_0105
msg_084,mute,spam,Low trust sender with no prior positive interactions,0.8676,none
msg_022,mute,payment,Low trust sender with no prior positive interactions,0.8636,message_0099
